SKU,EAN,IMAGEN
P14558,8023277110687,open-farma.s3.amazonaws.com/products/20281/large/open-uri20200520-4897-idg1wi.?1589986418
P12691,3137370348481,open-farma.s3.amazonaws.com/products/14092/large/3137370348481_01.jpg?1570720166
P24747,3337875719209,open-farma.s3.amazonaws.com/products/43487/large/open-uri20221117-6-16ukms9.?1668698461
P29713,8429420204126,open-farma.s3.amazonaws.com/products/32881/large/open-uri20210720-24803-vsqgkf.?1626809067
P7169,3349668565238,nan
P37617,7799075002325,open-farma.s3.amazonaws.com/products/53055/large/open-uri20240131-7-136xe50.?1706725839
P34995,8011003846627,open-farma.s3.amazonaws.com/products/43743/large/open-uri20221206-7-45twha.?1670349579
P37852,7798182771247,open-farma.s3.amazonaws.com/products/56767/large/open-uri20241004-7-108xe4i.?1728071842
P34934,8011003876709,open-farma.s3.amazonaws.com/products/43740/large/open-uri20221206-7-kp35bp.?1670349491
P7793,3337871325787,open-farma.s3.amazonaws.com/products/34529/large/3337871325787-1.jpg?1633535462
P11395,7804955001180,open-farma.s3.amazonaws.com/products/39374/large/open-uri20220425-49-1gemqgi.?1650914616
P12184,7791293041513,open-farma.s3.amazonaws.com/products/36537/large/open-uri20220223-22285-4g7xdb.?1645617822
P7570,3337871322502,open-farma.s3.amazonaws.com/products/17601/large/3337871322502_02.jpg?1583504144
P38998,7798178624380,open-farma.s3.amazonaws.com/products/57887/large/CEO-EXI-HYALU-SENSITIVE-SERUM-Estuche-y-Frasco.png?1739809731
P13201,75486021641,open-farma.s3.amazonaws.com/products/14852/large/75486021641_01.jpg?1572765490
P16297,7791001003284,open-farma.s3.amazonaws.com/products/33371/large/open-uri20210723-6325-ruslbt.?1627065385
P29716,7798111211288,open-farma.s3.amazonaws.com/products/33606/large/open-uri20210730-18271-y5tfbg.?1627672532
P9069,7798175718464,open-farma.s3.amazonaws.com/products/29784/large/open-uri20201218-1311-u05k1w.?1608298977
P12694,3349668571970,open-farma.s3.amazonaws.com/products/14103/large/3349668571970_01.jpg?1570720993
P12618,3577057054333,open-farma.s3.amazonaws.com/products/14310/large/3577057054333.jpg?1571746504
P12124,8411061943618,open-farma.s3.amazonaws.com/products/14138/large/8411061943618_01.jpg?1571161367
P12886,3600523497140,open-farma.s3.amazonaws.com/products/14579/large/3600523497140-1.jpg?1572728312
P8795,7798164560067,open-farma.s3.amazonaws.com/products/2057/large/7798164560067.jpg?1543856858
P23808,22548422236,open-farma.s3.amazonaws.com/products/29319/large/open-uri20201210-8121-x3c2gf.?1607621915
P10720,7791519701085,open-farma.s3.amazonaws.com/products/20327/large/open-uri20200521-10862-a1blq7.?1590075043
P35436,7791001011913,open-farma.s3.amazonaws.com/products/44408/large/open-uri20230124-7-1ui2jv8.?1674581887
P11700,7509552830644,open-farma.s3.amazonaws.com/products/43842/large/7509552923179_%281%29.jpg?1731076164
P35619,8710103976738,open-farma.s3.amazonaws.com/products/44453/large/open-uri20230209-7-1kdyxr9.?1675947895
P6196,8411061737835,open-farma.s3.amazonaws.com/products/43847/large/open-uri20221212-6-17g5tq9.?1670871683
P10975,3607344574654,open-farma.s3.amazonaws.com/products/7178/large/3607344574654.jpg?1551270428
P22983,6920354824388,open-farma.s3.amazonaws.com/products/30101/large/open-uri20210202-17128-dfrf3g.?1612296132
P12451,8429420161245,open-farma.s3.amazonaws.com/products/34859/large/open-uri20211014-4129-1mo7z5p.?1634220134
P10590,3607342512573,open-farma.s3.amazonaws.com/products/16601/large/3607342512573.jpg?1579887519
M7259,7791984000508,open-farma.s3.amazonaws.com/products/45057/large/7791984000508.jpg?1678450955
P35754,7798028884506,open-farma.s3.amazonaws.com/products/44635/large/open-uri20230223-7-apkkcn.?1677172448
P6659,3349668530052,open-farma.s3.amazonaws.com/products/14197/large/3349668530052_01.jpg?1571336410
P3688,8470003233941,open-farma.s3.amazonaws.com/products/6643/large/8470003233941.jpg?1549370169
P34881,7791293044804,open-farma.s3.amazonaws.com/products/43869/large/open-uri20221212-6-1lyxgk9.?1670871963
P34238,7798336946835,open-farma.s3.amazonaws.com/products/44102/large/open-uri20221216-7-fhwew3.?1671203441
P4379,85805763749,open-farma.s3.amazonaws.com/products/14193/large/85805763749_01.jpg?1571335747
M10048,7793742004759,open-farma.s3.amazonaws.com/products/56918/large/7793742004759.jpg?1729092911
P3602,7509552912371,open-farma.s3.amazonaws.com/products/14485/large/7509552912371_01.jpg?1572720090
P34985,7798336946934,open-farma.s3.amazonaws.com/products/44106/large/open-uri20221216-7-2ypayv.?1671203502
P12429,3274872384064,open-farma.s3.amazonaws.com/products/14070/large/3274872384064_01.jpg?1570718123
P8660,8712561510684,open-farma.s3.amazonaws.com/products/7997/large/8712561510684.jpg?1552486408
P14201,7799075001120,open-farma.s3.amazonaws.com/products/39741/large/open-uri20220429-49-1uudbwh.?1651256167
M11518,7792981070389,open-farma.s3.amazonaws.com/products/56510/large/open-uri20240911-7-1vc4e9o.?1726062557
P35312,7798111211660,open-farma.s3.amazonaws.com/products/44271/large/open-uri20221229-7-srtvth.?1672315559
P35313,7798111211813,open-farma.s3.amazonaws.com/products/44272/large/open-uri20221229-7-zc7ew4.?1672315584
P10164,7790520022509,open-farma.s3.amazonaws.com/products/4464/large/7790520022509.jpg?1547479920
M10353,7798140257196,open-farma.s3.amazonaws.com/products/44274/large/open-uri20230102-7-1v23r93.?1672681759
P23769,8436581940091,open-farma.s3.amazonaws.com/products/29765/large/open-uri20201217-5663-1w9hilx.?1608225328
P15756,8410190623934,open-farma.s3.amazonaws.com/products/44601/large/open-uri20230222-7-yyg3il.?1677079564
P9884,3614272376816,open-farma.s3.amazonaws.com/products/4581/large/3614272376816.jpg?1547492380
P8011,2000000670171,open-farma.s3.amazonaws.com/products/14251/large/7790033281189_01.jpg?1571427173
P1320,7500435012379,open-farma.s3.amazonaws.com/products/14999/large/7500435012379-8.jpg?1575315986
P7468,7798095419601,open-farma.s3.amazonaws.com/products/614/large/7798095419601.jpg?1543419269
P20864,7798164560807,open-farma.s3.amazonaws.com/products/29399/large/open-uri20201214-7213-1ei8fj1.?1607951344
P11356,3337875607254,open-farma.s3.amazonaws.com/products/43409/large/open-uri20221117-6-1uc3hdd.?1668695925
P37851,7798178623949,open-farma.s3.amazonaws.com/products/56769/large/open-uri20241004-7-mkn4my.?1728071858
P36801,7799075002202,open-farma.s3.amazonaws.com/products/54895/large/open-uri20240515-7-12ve9gg.?1715784177
P3726,8470001691880,open-farma.s3.amazonaws.com/products/36060/large/8470001691880_p.jpg?1641298969
P9148,3600522877301,open-farma.s3.amazonaws.com/products/5312/large/3600522877301-1.jpg?1548159009
P8079,7798201235293,open-farma.s3.amazonaws.com/products/6336/large/7798201235293.jpg?1548939488
P32452,7799075001731,open-farma.s3.amazonaws.com/products/44349/large/open-uri20230112-7-13no2l8.?1673535699
M8939,7793742007989,open-farma.s3.amazonaws.com/products/30085/large/open-uri20210201-11523-7odsz5.?1612207698
P8018,3337875550628,open-farma.s3.amazonaws.com/products/42622/large/open-uri20221013-6-945ydd.?1665670357
P38018,7799075002455,open-farma.s3.amazonaws.com/products/54866/large/open-uri20240515-7-sw5p5c.?1715783888
P8010,2000000670164,open-farma.s3.amazonaws.com/products/14248/large/7790033281172_01.jpg?1571426965
P32451,7799075001717,open-farma.s3.amazonaws.com/products/44359/large/open-uri20230112-7-5ocsvo.?1673535922
P2836,7791290010789,open-farma.s3.amazonaws.com/products/5016/large/7791290010789.jpg?1548079439
P12781,7799075000277,open-farma.s3.amazonaws.com/products/15193/large/7799075000277.jpg?1575488547
M11222,7793742024627,open-farma.s3.amazonaws.com/products/56352/large/open-uri20240904-7-143p082.?1725460620
P12696,3349668572038,open-farma.s3.amazonaws.com/products/14101/large/3349668572038_01.jpg?1570720914
P29758,3614229387056,open-farma.s3.amazonaws.com/products/33694/large/open-uri20210806-6402-11v5ls9.?1628271991
P13461,7798332020607,open-farma.s3.amazonaws.com/products/29781/large/open-uri20201218-595-trkl8u.?1608298292
P5692,3355992007771,open-farma.s3.amazonaws.com/products/14254/large/3355992007771_01.jpg?1571660342
P6491,3614220544298,open-farma.s3.amazonaws.com/products/14267/large/3614220544298_01.jpg?1571661641
P3743,8429420093232,open-farma.s3.amazonaws.com/products/35994/large/open-uri20211227-28028-19ysoon.?1640633670
P14268,7891150051089,open-farma.s3.amazonaws.com/products/20246/large/open-uri20200519-3262-sxvuzv.?1589920433
P1285,7791293029511,open-farma.s3.amazonaws.com/products/5287/large/7891150017351_20_281_29.jpg?1548104895
M11221,7793742024603,open-farma.s3.amazonaws.com/products/56341/large/open-uri20240904-7-mqyxyf.?1725460511
P14169,7891150066069,open-farma.s3.amazonaws.com/products/20264/large/open-uri20200519-3262-2as4sh.?1589920524
M8490,7792981004094,open-farma.s3.amazonaws.com/products/21872/large/open-uri20200626-27314-1o3p6i7.?1593174585
P7963,3337875545891,open-farma.s3.amazonaws.com/products/7772/large/3337875545891.png?1552308001
M9529,7798024570540,open-farma.s3.amazonaws.com/products/33725/large/open-uri20210810-1318-1v9o2u5.?1628600594
P3733,8429420078581,open-farma.s3.amazonaws.com/products/56389/large/8429420078581_nuevo.jpg?1725625938
P11325,7798028880539,open-farma.s3.amazonaws.com/products/44583/large/open-uri20230217-7-6y9b0v.?1676639929
P8495,7798127370924,open-farma.s3.amazonaws.com/products/6253/large/7798127370924.jpg?1548854175
P32522,3337875774017,open-farma.s3.amazonaws.com/products/40895/large/open-uri20220707-7-1n6b5sk.?1657224150
P19354,7509546684437,open-farma.s3.amazonaws.com/products/54564/large/open-uri20240424-7-q5l82z.?1713985214
M11218,7793742008252,open-farma.s3.amazonaws.com/products/55177/large/open-uri20240531-7-1imodfc.?1717165930
P9018,7798095419786,open-farma.s3.amazonaws.com/products/6588/large/7798095419786.jpg?1549045289
P15883,7798140254409,open-farma.s3.amazonaws.com/products/29958/large/7798140254409-1.jpg?1684863357
P35538,8410225548058,open-farma.s3.amazonaws.com/products/44425/large/open-uri20230131-7-1qjtynj.?1675177986
P6676,3349668508488,open-farma.s3.amazonaws.com/products/14125/large/3349668508488_01.jpg?1571143916
P3403,7509552902877,open-farma.s3.amazonaws.com/products/4164/large/7899026486997_20_281_29.jpg?1545929821
M11403,7793742004858,open-farma.s3.amazonaws.com/products/54234/large/open-uri20240417-6-2hkbs8.?1713365014
P36220,3337875824033,open-farma.s3.amazonaws.com/products/47283/large/open-uri20230510-6-1w6oa2q.?1683726824
P12616,3577057054302,open-farma.s3.amazonaws.com/products/14308/large/3577057054302.jpg?1571746268
P13185,7500435235297,open-farma.s3.amazonaws.com/products/54653/large/open-uri20240430-6-6wgi8y.?1714505102
P8781,7798164561798,open-farma.s3.amazonaws.com/products/2125/large/7798164561798.jpg?1543857582
P34720,7500435137928,open-farma.s3.amazonaws.com/products/44921/large/7500435137928-01.jpg?1677854642
P34746,7790520998934,open-farma.s3.amazonaws.com/products/44954/large/open-uri20230307-7-9g0au.?1678200034
P29113,3337875762298,open-farma.s3.amazonaws.com/products/43395/large/open-uri20221117-6-wybkl7.?1668695571
P35646,8023277149915,open-farma.s3.amazonaws.com/products/44522/large/open-uri20230214-7-14icz6m.?1676381889
P35599,7798111211677,open-farma.s3.amazonaws.com/products/44928/large/7798111211677.png?1677855063
M9481,3664798038934,open-farma.s3.amazonaws.com/products/33682/large/open-uri20210806-7103-148z62s.?1628270528
P6029,3365440690691,open-farma.s3.amazonaws.com/products/14293/large/3365440690691_01.jpg?1571675251
P13178,3386460097338,open-farma.s3.amazonaws.com/products/14299/large/3386460097338_01.jpg?1571683280
P23867,3614227128545,open-farma.s3.amazonaws.com/products/33687/large/open-uri20210806-7103-1hre0yc.?1628270554
P35648,8023277149489,open-farma.s3.amazonaws.com/products/44534/large/open-uri20230214-7-1mh8lpt.?1676382076
P29455,7798140254508,open-farma.s3.amazonaws.com/products/34484/large/open-uri20210922-666-zty8w9.?1632315711
P15427,7798178623604,open-farma.s3.amazonaws.com/products/40315/large/open-uri20220526-49-we67hq.?1653573691
P15512,7798182770240,open-farma.s3.amazonaws.com/products/35060/large/open-uri20211019-15962-1sphyre.?1634650479
P15613,3337875695176,open-farma.s3.amazonaws.com/products/26031/large/open-uri20200918-6317-14anzdh.?1600466704
P11335,7798028880904,open-farma.s3.amazonaws.com/products/44574/large/open-uri20230217-7-1i9k5wk.?1676639727
P8570,8429420139237,open-farma.s3.amazonaws.com/products/31380/large/open-uri20210519-19844-dl8zd4.?1621424771
P16667,7791001000566,open-farma.s3.amazonaws.com/products/33376/large/open-uri20210723-6325-zdypbg.?1627065419
P12612,3577057054265,open-farma.s3.amazonaws.com/products/14304/large/3577057054265.jpg?1571745508
P3735,8429420079717,open-farma.s3.amazonaws.com/products/40341/large/8429420079717-01.jpg?1653947220
P13180,3614271432285,open-farma.s3.amazonaws.com/products/14303/large/3614271432285_01.jpg?1571683523
P32518,3337875774123,open-farma.s3.amazonaws.com/products/43452/large/open-uri20221117-6-1k307q2.?1668696712
P12023,8429420188020,open-farma.s3.amazonaws.com/products/15912/large/8470001674241.jpg?1578333874
P29782,7798111210632,open-farma.s3.amazonaws.com/products/33620/large/open-uri20210730-22920-15jjvlm.?1627673026
M8475,3664798065817,open-farma.s3.amazonaws.com/products/30973/large/7795312108935_p.jpg?1618589497
P2496,7791293033020,open-farma.s3.amazonaws.com/products/4729/large/7791293033020.jpg?1547757384
P32521,3337875774031,open-farma.s3.amazonaws.com/products/43437/large/open-uri20221117-6-1u6aiiz.?1668696442
P8450,3337875585187,open-farma.s3.amazonaws.com/products/7565/large/7790033278011.jpg?1551961757
